"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0048527","lateral root development",142,0.600687474789309,1.67308014167608,0.00238138744677463,0.0209416667075143,0.0159684035703771,2863,"tags=25%, list=11%, signal=23%","AT1G13620/AT2G04025/AT1G10370/AT5G66815/AT1G77690/AT1G72490/AT4G37070/AT4G12550/AT2G03830/AT1G74560/AT5G13080/AT2G31085/AT2G42430/AT2G46400/AT2G45420/AT4G01630/AT1G18740/AT4G16780/AT3G60650/AT3G18830/AT1G56010/AT5G39610/AT5G49660/AT1G18800/AT1G55020/AT5G60810/AT3G58190/AT5G40770/AT5G56580/AT5G57280/AT2G17500/AT5G11630/AT3G20860/AT3G17170/AT5G56320/AT4G14550"
"GO:0006783","heme biosynthetic process",23,-0.541648013181228,-1.90215663479676,0.00245787489559128,0.0215321055492103,0.0164186239773538,10290,"tags=87%, list=40%, signal=52%","AT1G09940/AT2G30390/AT2G40490/AT1G58290/AT5G14220/AT2G20180/AT2G44520/AT5G08280/AT3G14930/AT1G03475/AT2G31250/AT3G21200/AT5G63570/AT5G26030/AT2G26540/AT1G50170/AT4G03205/AT1G69740/AT4G01690/AT5G40850"
"GO:0042168","heme metabolic process",27,-0.498749716700872,-1.87289338668276,0.00247828424514729,0.0215338786385728,0.0164199759903956,11666,"tags=85%, list=45%, signal=47%","AT3G48730/AT2G26550/AT1G09940/AT2G30390/AT2G40490/AT1G58290/AT5G14220/AT2G20180/AT2G44520/AT5G08280/AT3G14930/AT1G03475/AT2G31250/AT3G21200/AT5G63570/AT5G26030/AT3G03890/AT2G26540/AT1G50170/AT4G03205/AT1G69740/AT4G01690/AT5G40850"
"GO:0006102","isocitrate metabolic process",11,-0.64900565496409,-1.82942020278071,0.00249746785125109,0.0215338786385728,0.0164199759903956,7397,"tags=82%, list=29%, signal=58%","AT1G54340/AT4G26970/AT4G35260/AT5G03290/AT3G09810/AT2G05710/AT1G65930/AT4G35830/AT1G32480"
"GO:1902652","secondary alcohol metabolic process",11,-0.64900565496409,-1.82942020278071,0.00249746785125109,0.0215338786385728,0.0164199759903956,7397,"tags=82%, list=29%, signal=58%","AT1G54340/AT4G26970/AT4G35260/AT5G03290/AT3G09810/AT2G05710/AT1G65930/AT4G35830/AT1G32480"
"GO:0050790","regulation of catalytic activity",70,0.668912935628532,1.80133509832327,0.00249792589661683,0.0215338786385728,0.0164199759903956,2313,"tags=27%, list=9%, signal=25%","AT3G49330/AT5G38610/AT1G73330/AT1G14890/AT1G73580/AT3G51030/AT1G47960/AT5G15510/AT2G01540/AT3G57860/AT2G47670/AT5G62340/AT1G70790/AT1G70800/AT1G03780/AT5G64620/AT2G01610/AT4G25250/AT5G62350"
"GO:0010608","post-transcriptional regulation of gene expression",194,-0.249798535641587,-1.49686531175048,0.00250480879997288,0.0215338786385728,0.0164199759903956,10233,"tags=63%, list=40%, signal=38%","AT2G29140/AT1G61470/AT1G14790/AT1G09340/AT5G23570/AT1G78160/AT4G25880/AT4G08980/AT1G71770/AT1G06710/AT4G31850/AT5G01400/AT4G13940/AT5G46580/AT5G20220/AT2G17975/AT3G43920/AT5G63440/AT3G23780/AT3G49500/AT3G61240/AT3G01150/AT5G39900/AT1G27890/AT4G16390/AT3G62800/AT1G70070/AT2G24350/AT3G59410/AT1G19120/AT2G31890/AT5G63080/AT3G17040/AT1G05970/AT1G09810/AT2G40030/AT4G20910/AT3G02830/AT1G73840/AT5G45330/AT3G54720/AT1G05460/AT2G43320/AT1G07705/AT5G08650/AT3G13060/AT5G55550/AT1G43190/AT2G18940/AT5G20320/AT1G31500/AT4G26650/AT2G29190/AT1G75660/AT1G27960/AT1G63020/AT5G59180/AT2G45810/AT1G71720/AT2G33540/AT3G20390/AT3G17330/AT1G06450/AT5G18410/AT5G35430/AT1G69410/AT1G01040/AT3G58580/AT3G58560/AT1G17760/AT1G76630/AT4G00660/AT3G03300/AT3G46960/AT3G27670/AT1G09570/AT5G13570/AT1G32490/AT5G20930/AT4G11130/AT3G20250/AT5G55390/AT5G58190/AT2G22090/AT1G21580/AT1G21760/AT2G45620/AT1G80780/AT4G38090/AT5G59710/AT5G53180/AT4G20400/AT1G15920/AT1G26630/AT3G12640/AT1G71800/AT1G79090/AT1G55500/AT3G20800/AT3G10360/AT3G08730/AT3G07810/AT5G47620/AT4G14990/AT1G08370/AT5G10960/AT3G08720/AT3G22270/AT5G18230/AT3G10490/AT5G13010/AT1G48410/AT3G56860/AT1G33980/AT4G03430/AT1G18070/AT1G02080/AT3G48050/AT1G26110/AT4G34110/AT1G22760/AT5G43110"
"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport",98,-0.318850124734337,-1.6932140279002,0.00253972434333456,0.021752880620977,0.0165869690042081,10092,"tags=60%, list=39%, signal=37%","AT3G03180/AT3G59500/AT3G23660/AT5G58180/AT1G05520/AT5G47490/AT5G48660/AT4G31490/AT5G12210/AT3G05000/AT1G62020/AT2G01470/AT1G80500/AT2G17980/AT3G12070/AT4G01810/AT1G11890/AT1G52360/AT3G47700/AT2G42700/AT5G43670/AT2G46180/AT3G24350/AT4G30260/AT2G21630/AT1G11905/AT3G54085/AT5G01430/AT1G26690/AT4G32640/AT1G48440/AT2G21390/AT3G22845/AT2G32900/AT5G24350/AT3G61570/AT3G07190/AT3G44340/AT1G05785/AT3G01340/AT1G08400/AT4G02080/AT4G14160/AT1G02130/AT3G63460/AT3G07100/AT4G31480/AT3G27530/AT5G47480/AT1G15880/AT1G51160/AT5G42570/AT5G17190/AT3G13870/AT4G17170/AT4G34450/AT5G58060/AT3G62560/AT3G11730"
"GO:0007129","homologous chromosome pairing at meiosis",33,-0.451516445963264,-1.82063633397928,0.00255895252120658,0.0217558177448707,0.0165892086148525,14158,"tags=100%, list=55%, signal=45%","AT1G03180/AT1G14750/AT2G46980/AT5G50930/AT1G10710/AT3G12280/AT3G27730/AT1G63990/AT4G17380/AT1G13330/AT1G22275/AT1G22260/AT4G14180/AT3G20475/AT3G22880/AT1G01690/AT4G24710/AT4G32200/AT4G14970/AT5G57880/AT3G02680/AT3G28370/AT1G67370/AT3G48190/AT3G63480/AT1G53490/AT5G48390/AT3G13170/AT1G48360/AT4G30870/AT2G06510/AT1G78790"
"GO:0045944","positive regulation of transcription by RNA polymerase II",156,-0.281707158820862,-1.58567396701667,0.00255494634132099,0.0217558177448707,0.0165892086148525,7520,"tags=48%, list=29%, signal=34%","AT1G74330/AT1G18670/AT5G48630/AT3G53680/AT5G10140/AT5G62165/AT1G73690/AT4G00850/AT5G13660/AT3G57230/AT4G37940/AT5G43010/AT1G60700/AT1G27630/AT4G19560/AT1G45000/AT1G53050/AT4G12610/AT4G00980/AT5G11260/AT2G22630/AT4G25515/AT1G55325/AT5G19310/AT3G54610/AT2G02090/AT3G54350/AT5G48670/AT2G03060/AT1G54610/AT4G04920/AT5G53450/AT2G27980/AT3G06010/AT1G11760/AT3G57390/AT4G19600/AT5G19480/AT5G62090/AT5G44290/AT1G03740/AT5G64960/AT5G48640/AT1G16710/AT4G25520/AT3G26730/AT5G59830/AT2G37520/AT5G61150/AT3G04740/AT3G12980/AT1G79000/AT1G43850/AT5G10270/AT1G25540/AT5G65050/AT2G46020/AT5G45190/AT1G26665/AT2G28290/AT5G12230/AT3G06400/AT5G09250/AT1G72350/AT3G01085/AT3G61120/AT4G02235/AT4G36590/AT5G04640/AT5G06500/AT5G26580/AT5G27070/AT5G27580/AT5G38620/AT5G49490"
