"lineage","p_value"
"rootcap",9.30174273211383e-207
"epidermis",0
"cortex",6.72314377532931e-92
"xpp",5.77072128788321e-236
"endodermis",2.2863670167909e-141
"ppp",3.52649807299851e-141
"procambium",9.85559677512461e-117
"phloem",2.21090825880443e-106
"xylem",3.65154241740372e-161
