"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.91796978940847e-47,2.69071372658232,0.522,0.167,2.55724933050108e-42,"protoxylem early","AT5G07120"
1.07068584966517e-46,0.833872474104733,0.995,0.916,2.76065639477667e-42,"protoxylem early","AT1G23490"
1.43335559439382e-46,3.08999662426505,0.167,0.019,3.69576406458503e-42,"protoxylem early","AT1G06113"
2.06794164661528e-46,2.17043233208369,0.414,0.102,5.33198074163283e-42,"protoxylem early","AT5G60690"
2.44702714718335e-46,1.7423582428437,0.747,0.35,6.30941479629756e-42,"protoxylem early","AT1G06390"
2.57293677895042e-46,1.95746930078061,0.699,0.307,6.63406019084576e-42,"protoxylem early","AT1G78620"
3.45676220023159e-46,2.060578069608,0.548,0.174,8.91291565707714e-42,"protoxylem early","AT5G19390"
3.51520093428842e-46,2.41636443432055,0.57,0.203,9.06359408896927e-42,"protoxylem early","AT3G18040"
4.18425941066616e-46,1.12705407707188,0.984,0.736,1.07886944644616e-41,"protoxylem early","AT4G16380"
5.09333202145543e-46,1.70528304456771,0.785,0.373,1.31326472841207e-41,"protoxylem early","AT1G29310"
5.39562352515884e-46,1.86689325232768,0.855,0.529,1.39120756972695e-41,"protoxylem early","AT5G44790"
5.46032744783001e-46,1.6354618460995,0.823,0.467,1.40789082914849e-41,"protoxylem early","AT2G37550"
8.06552654214221e-46,1.90798181568741,0.694,0.303,2.07961536362595e-41,"protoxylem early","AT3G08550"
1.02287618583996e-45,1.80543607877356,0.409,0.097,2.63738395756975e-41,"protoxylem early","AT1G10760"
1.97963781580703e-45,3.63157013182481,0.177,0.022,5.10429814427684e-41,"protoxylem early","AT1G43040"
1.99687687675875e-45,1.40833953414951,0.892,0.581,5.14874733903475e-41,"protoxylem early","AT5G49540"
2.13837745972754e-45,1.7020194405946,0.774,0.378,5.5135924421615e-41,"protoxylem early","AT3G16630"
2.22013328688344e-45,1.16707744263138,0.968,0.752,5.72439166690027e-41,"protoxylem early","AT5G14030"
2.42008456646429e-45,1.55475254842705,0.801,0.402,6.23994604617153e-41,"protoxylem early","AT4G17100"
3.07387259633875e-45,1.98572658695161,0.694,0.306,7.92567310239984e-41,"protoxylem early","AT4G32140"
3.22433741512004e-45,1.77957909315465,0.774,0.389,8.31363159114552e-41,"protoxylem early","AT2G32920"
3.63856414349647e-45,1.16430359974319,0.952,0.681,9.3816737875913e-41,"protoxylem early","AT5G14240"
3.68335032751589e-45,1.08623361155315,0.978,0.737,9.49715048446696e-41,"protoxylem early","AT1G12310"
4.04850808129187e-45,1.40394863224266,0.108,0.008,1.0438673236803e-40,"protoxylem early","AT1G75720"
6.16463357286402e-45,1.88836144386223,0.753,0.368,1.58948912042726e-40,"protoxylem early","AT2G22795"
7.52245601910641e-45,1.14287881803569,0.957,0.698,1.9395900599664e-40,"protoxylem early","AT4G09000"
1.04344824190429e-44,2.02363799787752,0.548,0.189,2.69042694692602e-40,"protoxylem early","AT1G29890"
1.25644808133847e-44,2.54696852203281,0.409,0.104,3.23962573292311e-40,"protoxylem early","AT4G12250"
1.47287873630034e-44,2.69921317327731,0.29,0.056,3.7976705336768e-40,"protoxylem early","AT3G19380"
1.51209716655914e-44,2.81561281768864,0.43,0.12,3.89879133425608e-40,"protoxylem early","AT5G11790"
1.55527121476962e-44,2.10340166860975,0.425,0.11,4.010111300162e-40,"protoxylem early","AT1G12450"
1.70037375355122e-44,1.63259837352842,0.817,0.466,4.38424368615648e-40,"protoxylem early","AT2G21390"
2.16870717074949e-44,2.01807155361789,0.656,0.279,5.59179456906048e-40,"protoxylem early","AT3G14790"
2.18045851009951e-44,2.23397607614008,0.548,0.194,5.62209422244057e-40,"protoxylem early","AT5G47780"
2.3524678673278e-44,1.14596354328723,0.828,0.372,6.06560314911801e-40,"protoxylem early","AT3G05900"
2.61131291006815e-44,2.17782836622553,0.473,0.135,6.73300920731973e-40,"protoxylem early","AT5G49700"
2.77437091908925e-44,2.48223322607329,0.516,0.17,7.15343797777973e-40,"protoxylem early","AT1G02720"
2.7942071413158e-44,2.20138507596872,0.247,0.04,7.20458369316866e-40,"protoxylem early","AT5G44005"
3.2791502402048e-44,2.01859828977321,0.667,0.288,8.45496097934406e-40,"protoxylem early","AT4G39390"
3.31765685770906e-44,1.0804660034354,0.989,0.682,8.55424644191704e-40,"protoxylem early","AT2G45820"
3.55664025932713e-44,1.88492749761235,0.731,0.367,9.17044124464908e-40,"protoxylem early","AT3G05280"
6.76943250272344e-44,2.07931163940815,0.613,0.242,1.74543047650221e-39,"protoxylem early","AT5G15740"
7.50208993733236e-44,1.57542394101575,0.919,0.67,1.93433886944178e-39,"protoxylem early","AT1G15100"
7.97174246298143e-44,2.45456867230147,0.392,0.099,2.05543407665513e-39,"protoxylem early","AT1G49880"
8.36766474468483e-44,3.434982040027,0.151,0.017,2.15751867776954e-39,"protoxylem early","AT1G72720"
1.11133450207705e-43,1.79605409678985,0.753,0.383,2.86546488015546e-39,"protoxylem early","AT4G12420"
1.16925021797994e-43,2.37248785182492,0.554,0.199,3.01479476203949e-39,"protoxylem early","AT1G78880"
1.19241225706304e-43,2.01262359299511,0.608,0.231,3.07451576361134e-39,"protoxylem early","AT5G58000"
1.83312012584646e-43,3.57038498854117,0.215,0.033,4.72651693248251e-39,"protoxylem early","AT1G71970"
2.02292513490174e-43,2.87036079515254,0.188,0.025,5.21591016783063e-39,"protoxylem early","AT2G43840"
2.09822434266426e-43,1.51394179491073,0.118,0.01,5.41006164512552e-39,"protoxylem early","AT5G50290"
2.09831672570743e-43,1.22889406792432,0.925,0.622,5.41029984556405e-39,"protoxylem early","AT3G17100"
2.45424327669602e-43,1.34041560671562,0.919,0.53,6.32802086463302e-39,"protoxylem early","AT2G31570"
3.36631033755475e-43,1.35188144289399,0.866,0.512,8.67969457435118e-39,"protoxylem early","AT4G16695"
3.69777672845614e-43,0.957066183125105,0.989,0.838,9.53434751665131e-39,"protoxylem early","AT2G03680"
4.24649115957932e-43,1.66660939652492,0.801,0.45,1.09491528058593e-38,"protoxylem early","AT3G51160"
4.29520499906742e-43,2.26357708487726,0.28,0.052,1.10747565695954e-38,"protoxylem early","AT4G23500"
4.52283681350539e-43,1.46242573105336,0.79,0.413,1.16616824399423e-38,"protoxylem early","AT5G57110"
4.69305340049407e-43,1.78271669645782,0.763,0.385,1.21005688878339e-38,"protoxylem early","AT5G11280"
5.29911663732372e-43,1.55482776599153,0.941,0.677,1.36632423376755e-38,"protoxylem early","AT3G17390"
5.46598947422111e-43,1.29169749047971,0.925,0.638,1.40935072603317e-38,"protoxylem early","AT2G33120"
8.79826626167282e-43,1.53182368832678,0.839,0.494,2.26854497290972e-38,"protoxylem early","AT3G58170"
1.01417467628807e-42,1.69325550791249,0.715,0.319,2.61494798534115e-38,"protoxylem early","AT5G52560"
1.03170792171512e-42,2.54637561817934,0.602,0.246,2.66015570535025e-38,"protoxylem early","AT3G52290"
