"Gene_ID","Cahn_Methylation_status","Bewick_Classification","Both_gbM","Both_TE_like","H2AZ_Depleted","H2AZ_Enriched"
"AT4G34555","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34560","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34570","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G34580","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G34588",NA,"Unmethylated",NA,NA,NA,NA
"AT4G34590","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34600","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34610","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G34620","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34630","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34640","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G34650","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G34660","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G34670","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34680","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34690","TE-like methylation","mCHH",FALSE,TRUE,NA,NA
"AT4G34700","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34710","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G34720","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34730","TE-like methylation","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G34740","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G34750","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34760","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34770","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34780","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34790","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34800","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34810","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34830","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G34840","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G34850","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
