"Gene_ID","Cahn_Methylation_status","Bewick_Classification","Both_gbM","Both_TE_like","H2AZ_Depleted","H2AZ_Enriched"
"AT4G29840","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29850","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29860","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29870","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29880","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G29890","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G29900","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29905","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29910","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29920","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29930","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29940","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29950","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29960","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29970","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29980","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
