"gene","variance.standardized","is_hvg","is_responsive","responsive_cell_type","responsive_avg_log2FC","median_within_celltype_cv2","num_celltypes_expressed","cahn_group","bewick_group","h2az_group"
"AT4G38740",1.87498886692967,TRUE,TRUE,"metaphloem ERS-",2.3756020533182,1.8795244323433,29,"Unmethylated","Unmethylated","Other"
"AT3G11020",1.87467425536976,TRUE,TRUE,"border cells",1.23438671837879,9.98946672722735,12,"Unmethylated","Unmethylated","Other"
"AT4G28250",1.87466281944158,TRUE,TRUE,"ppp ERS-",3.75954861295771,8.43006256736464,6,"Unmethylated","Unmethylated","Other"
"AT4G39940",1.87408108090613,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT5G10170",1.87369330384494,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT1G23530",1.87369095378443,TRUE,TRUE,"protophloem ERS-",5.22752157861883,4.344245139311,4,"Unmethylated","Unmethylated","Other"
"AT5G55507",1.87317133870558,TRUE,TRUE,"metaxylem ERS+",5.28878818279105,7.25564988709913,1,"Unmethylated","Unmethylated","Other"
"AT1G26760",1.87128898624948,TRUE,FALSE,NA,NA,NA,NA,"gbM","Unmethylated","Other"
"AT5G28630",1.87095435975669,TRUE,TRUE,"hair cells ERS-",3.79238964612749,3.50059171707389,2,"Unmethylated","Unmethylated","Other"
"AT2G34655",1.87003173227532,TRUE,FALSE,NA,NA,NA,NA,"TE-like","Unmethylated","Other"
"AT1G69325",1.86925348803965,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT1G05440",1.86913148643488,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT2G21045",1.86884779610357,TRUE,TRUE,"hair cells ERS-",2.95448472204862,4.52015638653,29,"Unmethylated","Unmethylated","Other"
"AT5G59240",1.86851272415736,TRUE,TRUE,"epidermis early",5.28298660706682,2.25657591318027,1,"Unmethylated","Unmethylated","Other"
"AT3G09500",1.86808196796091,TRUE,TRUE,"epidermis early",2.4371900395958,1.16693799412325,29,"Unmethylated","Unmethylated","Other"
"AT5G11750",1.86770478929417,TRUE,TRUE,"epidermis early",3.04329660858202,5.25786431663574,8,"gbM","Unmethylated","Other"
"AT1G31660",1.86743405876988,TRUE,TRUE,"epidermis early",3.42622266351033,5.05342927613751,4,"gbM","Unmethylated","Other"
"AT5G51105",1.86685466825779,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT5G01330",1.86666290103828,TRUE,TRUE,"non-hair cells",2.25648036005337,2.91071508443769,8,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT5G43040",1.86629485644411,TRUE,TRUE,"non-hair cells",2.2751278352039,4.16479568891934,5,"Unmethylated","Unmethylated","Other"
"AT3G61620",1.86598974655605,TRUE,TRUE,"epidermis early",2.93428165715863,6.73896603031183,9,"gbM","Unmethylated","H2A.Z-Enriched"
"AT4G09960",1.86540517410745,TRUE,TRUE,"border cells",6.90918152041665,11.8155305777033,1,"gbM","gbM","H2A.Z-Enriched"
"AT1G26740",1.8651869746841,TRUE,TRUE,"epidermis early",2.62985339442333,5.52835470474302,17,"gbM","Unmethylated","Other"
"AT4G14320",1.86512430571042,TRUE,TRUE,"epidermis early",2.33644216038757,1.98731299458636,29,"Unmethylated","Unmethylated","Other"
"AT5G21482",1.86507058707252,TRUE,TRUE,"metaphloem ERS+",4.7952642098685,11.8196357138051,2,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT1G33120",1.86493761288778,TRUE,TRUE,"epidermis early",2.33886020601313,1.26023101720993,29,"Unmethylated","Unmethylated","Other"
"AT2G23960",1.8646977543364,TRUE,TRUE,"metaphloem ERS-",3.14626855208846,5.58819364871059,8,"Unmethylated","Unmethylated","Other"
"AT5G54230",1.86455985910658,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT5G07090",1.86444828131278,TRUE,TRUE,"epidermis early",2.7425639834703,3.18603371538321,28,"Unmethylated","Unmethylated","Other"
"AT5G03760",1.86428406261551,TRUE,TRUE,"cortex ERS+",2.39771675200378,5.99941394645099,18,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT2G37860",1.86424487779603,TRUE,TRUE,"epidermis early",3.41342955671939,5.75556725890726,5,"gbM","Unmethylated","H2A.Z-Enriched"
"AT1G73860",1.8641390843792,TRUE,TRUE,"hair cells ERS-",4.14150995958916,3.00628591866986,3,"gbM","Unmethylated","H2A.Z-Enriched"
"AT5G66800",1.86239364495322,TRUE,TRUE,"root cap early",1.9736497477167,2.45369482816938,5,"Unmethylated","Unmethylated","Other"
"AT2G36890",1.86191511998554,TRUE,TRUE,"endodermis ERS+",3.62683003745119,3.12459797732134,12,"Unmethylated","Unmethylated","Other"
"AT5G19730",1.86188209334322,TRUE,TRUE,"xpp ERS-",5.34877864489628,5.67654646011603,2,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT1G13520",1.86180771326515,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT2G37510",1.86124695759152,TRUE,TRUE,"epidermis early",4.23695591316947,3.97314794875013,2,"gbM","Unmethylated","Other"
"AT1G12420",1.86105991575053,TRUE,TRUE,"protoxylem early",3.43898583874764,6.66463083686837,12,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT5G43620",1.86068018188612,TRUE,TRUE,"ppp ERS+",2.10686852019832,3.67627219407648,24,"Unmethylated","Unmethylated","Other"
"AT4G19030",1.86033575215734,TRUE,TRUE,"root cap lateral",2.35640094104275,3.05811187541411,29,"Unmethylated","Unmethylated","Other"
"AT5G53610",1.86024669060395,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT3G53280",1.86024669060395,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT3G23800",1.86018783364226,TRUE,TRUE,"cortex ERS-",3.06016873766561,5.92066163398329,10,"gbM","Unmethylated","H2A.Z-Enriched"
"AT2G28200",1.86018041800572,TRUE,TRUE,"protoxylem ERS+",4.64564448775937,5.34399206522324,16,"Unmethylated","Unmethylated","Other"
"AT3G02560",1.85968210070465,TRUE,TRUE,"epidermis early",2.67995864342343,1.92514288603457,29,"Unmethylated","Unmethylated","Other"
"AT4G31810",1.85961043654121,TRUE,TRUE,"epidermis early",3.43838056761854,5.82073960982103,7,"gbM","Unmethylated","Other"
"AT4G28460",1.85892615692298,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT1G63820",1.85710311717739,TRUE,TRUE,"metaphloem ERS+",4.48476004701909,7.35597567525726,4,"Unmethylated","Unmethylated","Other"
"AT5G61880",1.85697169207064,TRUE,TRUE,"epidermis early",2.73631614998593,3.70712999081458,13,"gbM","Unmethylated","Other"
"AT1G52660",1.85677914513936,TRUE,TRUE,"hair cells ERS-",4.6323220591299,6.33653681022392,2,"gbM","Unmethylated","Other"
"AT5G20045",1.8555800978673,TRUE,TRUE,"border cells",3.66931208124839,2.2770206249025,5,"gbM","Unmethylated","Other"
"AT2G36180",1.85495864277974,TRUE,FALSE,NA,NA,NA,NA,"TE-like","TE-like","Other"
"AT5G28610",1.85469847556743,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT3G23570",1.85460432837846,TRUE,TRUE,"columella",3.40933034364594,9.2534083376103,7,"Unmethylated","Unmethylated","Other"
"AT1G56660",1.85354049944396,TRUE,TRUE,"protoxylem ERS+",2.7891481152345,6.77094159823952,29,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT4G22570",1.85185965617074,TRUE,TRUE,"procambium ERS-",2.68729783262875,3.84402480845205,10,"Unmethylated","Unmethylated","H2A.Z-Enriched"
