"term","n_success","mean_estimate","std_error","ci_2.5","ci_97.5"
"(Intercept)",1000,2.00470724315707,0.0488032616311339,1.90789203785956,2.10214431527189
"avg_log2FC",1000,0.0467619198681232,0.0303917182946936,-0.0119296620667948,0.105991437304192
"cahn_groupTE-like",1000,0.119436268418109,0.0995236611062587,-0.0622184258920109,0.317206625369458
"cahn_groupTE-like:avg_log2FC",1000,-0.0558530689805284,0.115342295916013,-0.265074215252923,0.182496334675531
"cahn_groupgbM",1000,-0.510072700967863,0.0245217139528341,-0.555979468153263,-0.460640395140864
"cahn_groupgbM:avg_log2FC",1000,-0.0133341113040092,0.0395367520685089,-0.0894050368653691,0.0650304796610279
"has_TATA_boxTRUE",1000,0.072794454004136,0.0280616510411078,0.015487821648609,0.124024254954055
"log10_mean_expr",1000,0.924194660947855,0.0466206884360836,0.832645874833727,1.01906341857343
